100
1	20	1	0
1	20	1	500
1	20	1	1000
1	20	1	1500
1	20	1	2000
1	20	1	2500
1	20	1	3000
1	20	1	3500
1	20	1	4000
1	20	1	4500
1	20	1	5000
1	20	1	5500
1	20	1	6000
1	20	1	6500
1	20	1	7000
1	20	1	7500
1	20	1	8000
1	20	1	8500
1	20	1	9000
1	20	1	9500
1	20	1	10000
1	20	1	10500
1	20	1	11000
1	20	1	11500
1	20	1	12000
1	20	1	12500
1	20	1	13000
1	20	1	13500
1	20	1	14000
1	20	1	14500
1	20	1	15000
1	20	1	15500
1	20	1	16000
1	20	1	16500
1	20	1	17000
1	20	1	17500
1	20	1	18000
1	20	1	18500
1	20	1	19000
1	20	1	19500
1	20	1	20000
1	20	1	20500
1	20	1	21000
1	20	1	21500
1	20	1	22000
1	20	1	22500
1	20	1	23000
1	20	1	23500
1	20	1	24000
1	20	1	24500
1	20	1	25000
1	20	1	25500
1	20	1	26000
1	20	1	26500
1	20	1	27000
1	20	1	27500
1	20	1	28000
1	20	1	28500
1	20	1	29000
1	20	1	29500
1	20	1	30000
1	20	1	30500
1	20	1	31000
1	20	1	31500
1	20	1	32000
1	20	1	32500
1	20	1	33000
1	20	1	33500
1	20	1	34000
1	20	1	34500
1	20	1	35000
1	20	1	35500
1	20	1	36000
1	20	1	36500
1	20	1	37000
1	20	1	37500
1	20	1	38000
1	20	1	38500
1	20	1	39000
1	20	1	39500
1	20	1	40000
1	20	1	40500
1	20	1	41000
1	20	1	41500
1	20	1	42000
1	20	1	42500
1	20	1	43000
1	20	1	43500
1	20	1	44000
1	20	1	44500
1	20	1	45000
1	20	1	45500
1	20	1	46000
1	20	1	46500
1	20	1	47000
1	20	1	47500
1	20	1	48000
1	20	1	48500
1	20	1	49000
1	20	1	49500
